"sim","method","n.dims","fn","fp"
11,"CCA-LDA",6,2,4
11,"CCA-LDA",7,2,1
11,"CCA-LDA",8,2,1
11,"CCA-LDA",9,2,1
11,"CCA-LDA",10,1,3
11,"CCA-LDA",11,1,0
11,"CCA-LDA",12,1,1
11,"CCA-LDA",13,0,1
11,"CCA-LDA",14,0,0
11,"CCA-LDA",15,0,0
11,"CCA-LDA",16,0,0
11,"CCA-LDA",17,0,0
11,"CCA-LDA",18,0,0
11,"CCA-LDA",19,0,0
11,"CCA-LDA",20,0,0
11,"CCA-LDA",21,0,0
11,"CCA-LDA",22,0,0
11,"CCA-LDA",23,0,0
11,"CCA-LDA",24,0,0
11,"CCA-LDA",25,0,0
11,"CCA-LDA",26,0,0
11,"CCA-LDA",27,0,0
11,"CCA-LDA",28,0,0
11,"CCA-LDA",29,0,0
11,"CCA-LDA",30,0,0
11,"CCA-LDA",31,0,0
11,"CCA-LDA",32,0,0
11,"CCA-LDA",33,0,0
11,"CCA-LDA",34,0,0
11,"CCA-LDA",35,0,0
11,"CCA-LDA",36,0,0
11,"CCA-LDA",37,0,0
11,"CCA-LDA",38,0,0
11,"CCA-LDA",39,0,0
11,"PCA-LDA",2,5,11
11,"PCA-LDA",3,6,12
11,"PCA-LDA",4,5,11
11,"PCA-LDA",5,5,10
11,"PCA-LDA",6,5,9
11,"PCA-LDA",7,4,9
11,"PCA-LDA",8,3,5
11,"PCA-LDA",9,3,5
11,"PCA-LDA",10,1,5
11,"PCA-LDA",11,1,6
11,"PCA-LDA",12,1,6
11,"PCA-LDA",13,0,5
11,"PCA-LDA",14,1,5
11,"PCA-LDA",15,1,4
11,"PCA-LDA",16,0,3
11,"PCA-LDA",17,0,2
11,"PCA-LDA",18,0,1
