"sim","method","n.dims","fn","fp"
5,"CCA-LDA",33,9.15534458545501e-05,0.00309061711128514
5,"CCA-LDA",34,2.2730935660054e-06,0.00223078280797079
5,"CCA-LDA",35,1.91741694775774e-09,0.00253501016284324
5,"CCA-LDA",36,1.08232270564699e-05,7.07911047372709e-05
5,"CCA-LDA",37,1.8434139705037e-06,0.00100867414480206
5,"CCA-LDA",38,1.54562727308934e-08,0.000251187390981049
5,"CCA-LDA",39,3.28901886331476e-20,0.00343165626663908
5,"PCA-LDA",2,0.21490558982862,0.280124313165175
5,"PCA-LDA",3,0.131821211417784,0.268943360799595
5,"PCA-LDA",4,0.127958396403301,0.256537788310937
5,"PCA-LDA",5,0.12863962907176,0.198508214020128
5,"PCA-LDA",6,0.120194930642003,0.201320330568675
5,"PCA-LDA",7,0.127312969473808,0.166376311559586
5,"PCA-LDA",8,0.127595839846433,0.167521772748911
5,"PCA-LDA",9,0.128436508123654,0.17418631610537
5,"PCA-LDA",10,0.127748576944215,0.175853013418546
5,"PCA-LDA",11,0.124214120631101,0.171614037396096
5,"PCA-LDA",12,0.124430839345506,0.17107451558259
5,"PCA-LDA",13,0.119766526706128,0.189967838992036
5,"PCA-LDA",14,0.0897455435731964,0.175322557161077
5,"PCA-LDA",15,0.0952748892224138,0.147269765626369
5,"PCA-LDA",16,0.0889492739027892,0.157868577304579
5,"PCA-LDA",17,0.0933415631997618,0.162639761508041
5,"PCA-LDA",18,0.0825526840911785,0.134638751816373
5,"PCA-LDA",19,0.0876998047770916,0.131649031592155
5,"PCA-LDA",20,0.0809979628062404,0.0970223766838748
5,"PCA-LDA",21,0.0720775867453107,0.0457790802287224
5,"PCA-LDA",22,0.0716652835915667,0.0410160116251469
5,"PCA-LDA",23,0.0715199742217972,0.0231505410624958
5,"PCA-LDA",24,0.0613215976336865,0.0384344907977639
5,"PCA-LDA",25,0.054609091103544,0.0187777586112386
5,"PCA-LDA",26,0.0610169882696612,0.0062111216348596
5,"PCA-LDA",27,0.0616017804337364,0.00494268876852096
5,"PCA-LDA",28,0.061626124869995,0.0049631555679831
5,"PCA-LDA",29,0.0615214626177736,0.00494272726448276
5,"PCA-LDA",30,0.0594398694969954,0.00692931464666225
5,"PCA-LDA",31,0.0500651516748763,0.0258859233512087
5,"PCA-LDA",32,0.0468875420528063,0.0161577275407779
5,"PCA-LDA",33,0.0454094926574576,0.0184421406004078
5,"PCA-LDA",34,0.0381861155889345,0.0308485569529393
5,"PCA-LDA",35,0.0324921279935987,0.00011344933694126
5,"PCA-LDA",36,0.00245266366323942,1.84512394357397e-05
5,"PCA-LDA",37,0.00235402929131218,8.15891004634195e-06
5,"PCA-LDA",38,8.2228103516643e-33,7.1039367748023e-12
5,"PCA-LDA",39,3.97906623577998e-303,1.06754241181643e-10
6,"CCA-LDA",2,0.102698795084043,0.315124232268641
6,"CCA-LDA",3,0.0932233648185265,0.212512124992889
6,"CCA-LDA",4,0.108764799932851,0.179842429287847
6,"CCA-LDA",5,0.107026943301206,0.181138151119211
6,"CCA-LDA",6,0.0834606989923986,0.108202401848404
6,"CCA-LDA",7,0.0948502747917348,0.105400748679881
6,"CCA-LDA",8,0.089171101635288,0.0852719952081943
6,"CCA-LDA",9,0.0894778007694924,0.0845612864170043
6,"CCA-LDA",10,0.0309618175030099,0.0569635927384381
6,"CCA-LDA",11,0.0310022858548997,0.0570556117851641
6,"CCA-LDA",12,0.0311319037514718,0.0402915728530724
6,"CCA-LDA",13,0.0217648737195316,0.0584396434420907
6,"CCA-LDA",14,0.0150905230699199,0.0368095915500501
6,"CCA-LDA",15,0.0188914919966688,0.0389672231767204
6,"CCA-LDA",16,0.0377874938226316,0.0249509287157349
6,"CCA-LDA",17,0.0263591698097259,0.0197553038535388
6,"CCA-LDA",18,0.0236029264902771,0.0166161911355682
6,"CCA-LDA",19,0.0235810655567184,0.0166125249403571
6,"CCA-LDA",20,0.0225676840368417,0.020698371122996
6,"CCA-LDA",21,0.0293717333876628,0.0102919803685071
6,"CCA-LDA",22,0.0334806414057986,0.011076632946994
6,"CCA-LDA",23,0.0253113346699497,0.0180173286069153
6,"CCA-LDA",24,0.0156640094996391,0.0126546547322176
6,"CCA-LDA",25,0.00850129518804754,0.0409699486362048
6,"CCA-LDA",26,0.011485299029996,0.0417463137966206
6,"CCA-LDA",27,0.0117885593778628,0.0361910684216122
6,"CCA-LDA",28,0.00677402074611634,0.0337085897376301
6,"CCA-LDA",29,0.0234175951102009,0.0277035856475159
6,"CCA-LDA",30,0.0228828436354854,0.0279631243454427
6,"CCA-LDA",31,0.0144148939510112,0.0275597037474826
6,"CCA-LDA",32,0.00237786118166371,0.016156664389575
6,"CCA-LDA",33,0.000302805670205521,0.00738056396740681
6,"CCA-LDA",34,0.000261592479580586,0.000132259714249657
6,"CCA-LDA",35,4.91394317130024e-05,0.000174391162509009
6,"CCA-LDA",36,6.96833284910496e-05,0.000115186947171138
6,"CCA-LDA",37,0.000161750420152529,7.8993332516398e-06
6,"CCA-LDA",38,1.54769957121499e-44,0.01139176754501
6,"CCA-LDA",39,9.9064152946536e-28,0.0651926554183115
6,"PCA-LDA",2,0.185328725490714,0.24950039770539
6,"PCA-LDA",3,0.173080520378164,0.280354757971278
6,"PCA-LDA",4,0.182089081847681,0.191113364080363
6,"PCA-LDA",5,0.186489537751581,0.212745952339547
6,"PCA-LDA",6,0.152144690553726,0.19934419594084
6,"PCA-LDA",7,0.113132510385624,0.189244563598389
6,"PCA-LDA",8,0.115582520089881,0.201179935101535
6,"PCA-LDA",9,0.116173366911897,0.201901188629104
6,"PCA-LDA",10,0.125308837916428,0.188384356364681
6,"PCA-LDA",11,0.130951745335165,0.196120003833821
6,"PCA-LDA",12,0.133165082019021,0.196921404510524
6,"PCA-LDA",13,0.133245532415425,0.187901036283484
6,"PCA-LDA",14,0.109108249595098,0.194466139719073
6,"PCA-LDA",15,0.0839881281355566,0.119527062114264
6,"PCA-LDA",16,0.0835501642585386,0.119691000828918
6,"PCA-LDA",17,0.0545423658075818,0.163379299782314
6,"PCA-LDA",18,0.0468169894626634,0.173859054672701
6,"PCA-LDA",19,0.0425439466962599,0.167412198614994
6,"PCA-LDA",20,0.0398111028556713,0.16446097141851
6,"PCA-LDA",21,0.0665525387107266,0.0938867182332099
6,"PCA-LDA",22,0.062755864791309,0.100864485078141
6,"PCA-LDA",23,0.0654731660345334,0.0984834658696835
6,"PCA-LDA",24,0.0535728118995044,0.0317094924407048
6,"PCA-LDA",25,0.0536813058694406,0.0313701344180865
6,"PCA-LDA",26,0.0515132662271308,0.0358965192718999
6,"PCA-LDA",27,0.0380022095054267,0.0360986018152194
6,"PCA-LDA",28,0.0330651656493491,0.0517766236343423
6,"PCA-LDA",29,0.029423714305256,0.0434435984359095
6,"PCA-LDA",30,0.0433273519260439,0.0235434625684896
6,"PCA-LDA",31,0.0416062309603126,0.0265952886445578
6,"PCA-LDA",32,0.0399917290829482,0.0309176313737853
6,"PCA-LDA",33,0.0160870690001969,0.0212875470658313
6,"PCA-LDA",34,0.0085100989451241,0.0374101395501903
6,"PCA-LDA",35,0.0130526685131024,0.00518215511144305
6,"PCA-LDA",36,0.00651393098415928,0.00500658932852096
6,"PCA-LDA",37,0.00355998837972528,0.00616571625091961
