"method","n.dims","left.out.obs","fn","fp"
"CCA-LDA",19,6,1,2
"CCA-LDA",19,7,0,3
"CCA-LDA",19,8,1,3
"CCA-LDA",19,9,2,4
"CCA-LDA",19,10,2,2
"CCA-LDA",19,11,2,4
"CCA-LDA",19,12,0,2
"CCA-LDA",19,13,0,1
"CCA-LDA",19,14,2,3
"CCA-LDA",19,15,2,3
"CCA-LDA",19,16,3,3
"CCA-LDA",19,17,2,4
"CCA-LDA",19,18,0,4
"CCA-LDA",19,19,0,1
"CCA-LDA",19,20,2,3
"CCA-LDA",19,21,2,2
"CCA-LDA",19,22,2,1
"CCA-LDA",19,23,1,1
"CCA-LDA",19,24,1,3
"CCA-LDA",19,25,2,2
"CCA-LDA",19,26,1,3
"CCA-LDA",19,27,1,2
"CCA-LDA",19,28,2,4
"CCA-LDA",19,29,1,4
"CCA-LDA",19,30,1,2
"CCA-LDA",19,31,2,3
"CCA-LDA",19,32,2,0
"CCA-LDA",19,33,1,1
"CCA-LDA",19,34,1,5
"CCA-LDA",19,35,1,2
"CCA-LDA",19,36,0,2
"CCA-LDA",19,37,2,3
"CCA-LDA",19,38,2,1
"CCA-LDA",19,39,1,2
"CCA-LDA",19,40,3,1
"CCA-LDA",19,41,0,2
"CCA-LDA",19,42,0,4
"CCA-LDA",19,43,2,2
"CCA-LDA",20,1,0,0
"CCA-LDA",20,2,1,1
"CCA-LDA",20,3,2,5
"CCA-LDA",20,4,2,2
"CCA-LDA",20,5,0,2
"CCA-LDA",20,6,0,2
"CCA-LDA",20,7,0,3
"CCA-LDA",20,8,1,4
"CCA-LDA",20,9,2,4
"CCA-LDA",20,10,1,2
"CCA-LDA",20,11,2,4
"CCA-LDA",20,12,0,2
"CCA-LDA",20,13,0,1
"CCA-LDA",20,14,2,3
"CCA-LDA",20,15,1,4
"CCA-LDA",20,16,3,2
"CCA-LDA",20,17,2,4
"CCA-LDA",20,18,0,4
"CCA-LDA",20,19,0,1
"CCA-LDA",20,20,1,3
"CCA-LDA",20,21,2,2
"CCA-LDA",20,22,1,1
"CCA-LDA",20,23,1,2
"CCA-LDA",20,24,1,3
"CCA-LDA",20,25,2,3
"CCA-LDA",20,26,1,3
"CCA-LDA",20,27,0,1
"CCA-LDA",20,28,0,2
"CCA-LDA",20,29,1,2
"CCA-LDA",20,30,0,1
"CCA-LDA",20,31,2,3
"CCA-LDA",20,32,2,1
"CCA-LDA",20,33,2,1
"CCA-LDA",20,34,1,3
"CCA-LDA",20,35,1,3
"CCA-LDA",20,36,1,2
"CCA-LDA",20,37,2,5
"CCA-LDA",20,38,2,1
"CCA-LDA",20,39,1,2
"CCA-LDA",20,40,2,1
"CCA-LDA",20,41,0,3
