"sim","method","n.dims","err","CV","Pi","Alt"
106,"PCA-LDA",31,0.0405304687447629,3,1,5
107,"CCA-LDA",31,0.0344047321242246,3,1,5
107,"PCA-LDA",37,0.0599177460685566,3,1,5
108,"CCA-LDA",33,0.0105231015092069,3,1,5
108,"PCA-LDA",33,0.085098031180605,3,1,5
109,"CCA-LDA",31,0.0275557104415902,3,1,5
109,"PCA-LDA",37,0.0198847321240847,3,1,5
11,"CCA-LDA",38,0.00895202515968264,3,1,5
11,"PCA-LDA",37,0.00823574974104723,3,1,5
110,"CCA-LDA",36,0.0461547244347781,3,1,5
110,"PCA-LDA",34,0.00604564214457151,3,1,5
111,"CCA-LDA",25,0.0736653131019881,3,1,5
111,"PCA-LDA",30,0.0218997201295123,3,1,5
112,"CCA-LDA",32,0.0585876655758705,3,1,5
112,"PCA-LDA",37,0.0456058715736118,3,1,5
113,"CCA-LDA",33,0.0319157727624143,3,1,5
113,"PCA-LDA",33,0.0279064175279717,3,1,5
114,"CCA-LDA",34,0.0128285019962837,3,1,5
114,"PCA-LDA",37,0.0358610149421041,3,1,5
115,"CCA-LDA",28,0.0387746848651208,3,1,5
115,"PCA-LDA",37,0.00869091512969998,3,1,5
116,"CCA-LDA",34,0.0770704310152378,3,1,5
116,"PCA-LDA",39,6.86581725649403e-05,3,1,5
117,"CCA-LDA",27,0.0840295659685516,3,1,5
117,"PCA-LDA",30,0.118677061570084,3,1,5
118,"CCA-LDA",20,0.0512681797071242,3,1,5
118,"PCA-LDA",33,0.0532086709362594,3,1,5
119,"CCA-LDA",36,0.000761083797983833,3,1,5
119,"PCA-LDA",32,0.0447977144743246,3,1,5
12,"CCA-LDA",10,0.121040454865732,3,1,5
12,"PCA-LDA",37,6.16630289711104e-05,3,1,5
120,"CCA-LDA",31,0.00583351408071416,3,1,5
120,"PCA-LDA",24,0.14857451991976,3,1,5
121,"CCA-LDA",36,0.0378799230655224,3,1,5
121,"PCA-LDA",39,8.39064692706323e-13,3,1,5
122,"CCA-LDA",27,0.0610912723848628,3,1,5
122,"PCA-LDA",17,0.176538704273561,3,1,5
123,"CCA-LDA",20,0.0323918331501159,3,1,5
123,"PCA-LDA",38,0.00130390023339611,3,1,5
124,"CCA-LDA",32,0.012563075407924,3,1,5
124,"PCA-LDA",29,0.0375788811093625,3,1,5
125,"CCA-LDA",28,0.0511137893483488,3,1,5
125,"PCA-LDA",25,0.118975021211154,3,1,5
126,"CCA-LDA",37,0.0305197169160497,3,1,5
126,"PCA-LDA",29,0.0927731551905796,3,1,5
127,"CCA-LDA",39,0.033053071083816,3,1,5
